sentence,difficulty
"Actual mileage costs may deviate significantly from average values ​​depending on the means of transport used, the occupancy rate or fill rate, the infrastructure used, the topography of the lines, traffic flow, etc.",C1
Blue is my favorite color but I don't like green!,A1
The French level test is on the school's website.,A1
Is your husband also from Boston?,A1
"In business schools, in the corridors of financial centers, today it happens to come across young adults aged 20 or 25 who plan to open a guest house ""in around fifteen years"".",B1
This is another story that I really liked.,A2
Doctors often say that you should drink a glass of red wine after meals.,A2
"It is particularly observed among people with a developed need for popularity, who therefore consider the slightest signal from the smartphone as a possible indicator of their degree of popularity.",B2
I rediscovered the pleasure of eating a boiled egg,A2
"We are fine, we live in a small old house with a very beautiful garden",B1
Hello and good year.,A1
The press has extensively reported on the side effects experienced by caregivers under 65 years of age.,B2
"For the rock to open, you must touch it with a blade of grass.",B1
I live in a beautiful city in the north of France.,A1
"Of course it must meet the tastes of the consumer, but also the capacities of their wallet.",B2
"My shyness left me as soon as I moved away from Ellenore; I then resumed my skillful plans and my profound combinations: but as soon as I found myself near her, I felt trembling and troubled again.",C2
I think that going to galleries is the best way to educate your eye about contemporary art.,B2
"In the evening, I go to bed early because I always have to be in good shape.",A1
"The mother of Raphaël and Vanessa expresses her satisfaction: since her children have had a cell phone, “it has freed up my line,” she declares.",B2
I don't do much at home.,A2
She adds that a total ban is impossible to manage.,B2
"Without further hesitation, he turned to the left; his footsteps sounded on the hardened earth, and this rhythmic, monotonous noise lulled the tumult of his mind to sleep.",C2
"As the expression ""lingua franca"" indicates, French was for a very long time the international language, given our political as well as cultural influence.",C2
I didn't call you because I had too much work.,B1
Maybe this is what you are looking for?,A2
What could be a problem in these small but rather attractive booklets that only 23.4% of their holders reach the end?,C2
I usually check my email. And then I have a coffee.,A1
We are having dinner.,A2
"In fact, I think education is a good thing.",B1
Do you need something?,A1
"A perpetual clandestine, he was armed with a false residence permit, a photocopy of the residence card of a friend-accomplice, whom he then traveled across France, at the whim of unscrupulous employers.",C1
"Mixed marriage appears to be the privileged place where cultures clash, dialogue and blend.",B2
"Sitting on a terrace in the tourist district of Vieux Lyon, James sips a cold lemonade",B2
"The ancient chronology only makes sense over a large circumference of the Mediterranean, just as this spatial division is only relevant as a geographical entity during this period during which the inland sea is not experienced as a limit.",C2
"Here is one of the least obscure: “The more we become masters of the biosphere, the more we become dependent on it; the more we degrade it, the more we degrade our lives5.",C2
"This is the beginning of unrest which continues and spreads to the rest of the territory throughout the month of September the famous ""September Days"" amplified the refusal of William 1st to consider the demands of the insurgents",B2
The girls made necklaces out of red fruits that looked like pearls.,B2
I stay with you.,A1
An income therefore becomes a necessity so that Man can access the satisfaction of having fulfilled his desires.,C2
You ate the berries as soon as you picked them,C2
"Well, we're all overwhelmed.",A1
"A little boy: Well three in one nest and in the other, there are two",A2
I've been in good shape all morning.,A2
"The computer can also respond to interrupts that allow it to execute response programs specific to each, then resume sequential execution of the interrupted program.",C2
It rained and I waited for the bus.,A2
"In other cases these are relative limits, based on a reference demographic growth rate, again valid only outside centers or weighted according to the degree of centrality.",C2
It's good !,A1
"In 2007, less than 8% of business waste was subject to selective collection.",B2
The donor doctors will be happy to advise you in such a case and provide you with information regarding blood donations.,C1
The most worrying thing is that Scandinavia had already broken heat records during the summer of 2018,A2
I like ski.,A1
"“Unfortunately, it now seems clear that there is no path to confirmation,” Neera Tanden wrote to Joe Biden in withdrawing her candidacy",B2
Why is the baby bird alone in the forest?,A1
What day was she born?,A1
There are indeed human beings who possess a significant amount of power and who force humanity to work by creating a vicious circle which makes work a necessity to achieve their own desires.,C2
