sentence,difficulty
"Les coûts kilométriques réels peuvent s'écarter sensiblement des valeurs moyennes en fonction du moyen de transport utilisé, du taux d'occupation ou taux de remplissage, des infrastructures utilisées, de la topographie des lignes, de la fluidité du trafic, etc.",C1
Le bleu est ma couleur préférée mais je n'aime pas le vert !,A1
Le test de niveau de français est sur le site de l'école.,A1
Votre mari est-il également originaire de Boston ?,A1
"Dans les écoles de commerce, dans les couloirs des places financières, on croise aujourd'hui des jeunes adultes de 20 ou 25 ans qui envisagent d'ouvrir une maison d'hôtes « d'ici une quinzaine d'années ».",B1
C'est une autre histoire que j'ai beaucoup aimé.,A2
Les médecins disent souvent qu’il faut boire un verre de vin rouge après les repas.,A2
"Elle est particulièrement observée chez les personnes ayant un besoin de popularité développé, qui considèrent donc le moindre signal provenant du smartphone comme un indicateur possible de leur degré de popularité.",B2
J'ai redécouvert le plaisir de manger un œuf à la coque,A2
"Nous allons bien, nous vivons dans une petite maison ancienne avec un très beau jardin",B1
Bonjour et bonne année.,A1
La presse a largement parlé des effets secondaires ressentis par les soignants de moins de 65 ans.,B2
"Pour que le rocher s’ouvre, il faut le toucher avec un brin d’herbe.",B1
J'habite dans une belle ville du nord de la France.,A1
"Il doit bien sûr répondre aux goûts du consommateur, mais aussi aux capacités de son portefeuille.",B2
"Ma timidité m'a quitté dès que je me suis éloigné d'Ellénore ; Je repris alors mes plans habiles et mes combinaisons profondes : mais dès que je me trouvai près d'elle, je me sentis de nouveau tremblant et troublé.",C2
Je pense qu'aller dans des galeries est le meilleur moyen d'éduquer son regard sur l'art contemporain.,B2
"Le soir, je me couche tôt car je dois toujours être en forme.",A1
"La maman de Raphaël et Vanessa exprime sa satisfaction : depuis que ses enfants ont un téléphone portable, ""ça a libéré ma ligne"", déclare-t-elle.",B2
Je ne fais pas grand chose à la maison.,A2
Elle ajoute qu'une interdiction totale est impossible à gérer.,B2
"Sans plus d'hésitation, il se tourna vers la gauche ; ses pas résonnaient sur la terre durcie, et ce bruit rythmé et monotone endormissait le tumulte de son esprit.",C2
"Comme l'indique l'expression « lingua franca », le français a été pendant très longtemps la langue internationale, compte tenu de notre influence politique autant que culturelle.",C2
Je ne t'ai pas appelé parce que j'avais trop de travail.,B1
C'est peut-être ce que vous recherchez ?,A2
"Quel pourrait être le problème de ces petits livrets plutôt attractifs que seulement 23,4% de leurs détenteurs arrivent au bout ?",C2
Je vérifie habituellement mes e-mails. Et puis je prends un café.,A1
Nous dînons.,A2
"En fait, je pense que l'éducation est une bonne chose.",B1
Avez-vous besoin de quelque chose?,A1
"Clandestin perpétuel, il était armé d'un faux titre de séjour, une photocopie de la carte de séjour d'un ami-complice, qu'il parcourait ensuite à travers la France, au gré d'employeurs peu scrupuleux.",C1
"Le mariage mixte apparaît comme le lieu privilégié où les cultures s'affrontent, dialoguent et se mélangent.",B2
"Assis sur une terrasse du quartier touristique du Vieux Lyon, James sirote une limonade froide",B2
"La chronologie ancienne n'a de sens que sur une large circonférence de la Méditerranée, de même que cette division spatiale n'a de pertinence en tant qu'entité géographique que durant cette période où la mer intérieure n'est pas vécue comme une limite.",C2
"En voici une des moins obscures : « Plus nous devenons maîtres de la biosphère, plus nous en devenons dépendants ; plus nous le dégradons, plus nous dégradons nos vies5.",C2
C'est le début des troubles qui se poursuivent et s'étendent au reste du territoire tout au long du mois de septembre les fameuses « Journées de Septembre » ont amplifié le refus de Guillaume 1er de prendre en compte les revendications des insurgés.,B2
Les filles confectionnaient des colliers avec des fruits rouges qui ressemblaient à des perles.,B2
Je reste avec toi.,A1
Un revenu devient donc une nécessité pour que l'Homme puisse accéder à la satisfaction d'avoir comblé ses désirs.,C2
Vous avez mangé les baies dès que vous les avez cueillies,C2
"Eh bien, nous sommes tous dépassés.",A1
"Un petit garçon : Ben trois dans un nid et dans l'autre, il y en a deux",A2
J'ai été en forme toute la matinée.,A2
"L'ordinateur peut également répondre aux interruptions qui lui permettent d'exécuter des programmes de réponse spécifiques à chacune, puis reprendre l'exécution séquentielle du programme interrompu.",C2
Il a plu et j'ai attendu le bus.,A2
"Dans d’autres cas, il s’agit de limites relatives, basées sur un taux de croissance démographique de référence, là encore valable uniquement en dehors des centres ou pondérées selon le degré de centralité.",C2
C'est bon !,A1
"En 2007, moins de 8 % des déchets d'entreprises faisaient l'objet d'une collecte sélective.",B2
Les médecins donneurs se feront un plaisir de vous conseiller dans un tel cas et de vous fournir des informations concernant les dons de sang.,C1
Le plus inquiétant est que la Scandinavie avait déjà battu des records de chaleur durant l'été 2018.,A2
J'aime le ski.,A1
"""Malheureusement, il semble désormais clair qu'il n'y a aucun chemin vers la confirmation"", a écrit Neera Tanden à Joe Biden en retirant sa candidature.",B2
Pourquoi le oisillon est-il seul dans la forêt ?,A1
Quel jour est-elle née ?,A1
Il existe en effet des êtres humains qui possèdent un pouvoir important et qui obligent l'humanité à travailler en créant un cercle vicieux qui fait du travail une nécessité pour réaliser ses propres désirs.,C2
Une bouchée de : Cette expression fait référence à la quantité d’un aliment que vous mettez dans votre bouche en une seule fois.,B1
"Si vous suiviez les indications plus sérieusement, vous vous retrouveriez plus facilement dans ces ruelles.",B2
"Dès que Julie a découvert la vérité, elle était furieuse",C2
Juste au moment où nous avons le plus besoin de réconfort,A2
"Le train, en son temps, était aussi redouté. Brigitte Munier Les robots suscitent l'enthousiasme des Occidentaux, mais aussi leur anxiété : au lieu de les considérer comme de simples outils ou, à la manière japonaise, comme de sympathiques assistants, ils craignent des concurrents qui menacent leur avenir.",C1
Je viens d'emménager dans ma nouvelle maison.,A2
"Et cette année, ça arrive !",B1
"Compte tenu de cette configuration, cette zone se prête mal aux mesures de terrain visant à limiter la propagation des campagnols terrestres ; comme les routes ne représentent pas une barrière très forte pour cette espèce, on peut aussi penser qu'un tel résultat est un artefact dû à la coupe artificielle d'une seule parcelle de prairie.",C1
"Après mûre réflexion, la Commission européenne a eu une idée géniale : s'attaquer à un nouveau projet, qui échappait jusqu'alors étrangement à sa sagacité légendaire.",C1
"Avec l'expérience, le télévendeur peut devenir leader d'un centre de télévendeur, superviseur d'équipe, chef d'étage.",B1
"Et toi, qu'est-ce que tu vas faire ?",A2
Les valorisations boursières des sociétés Internet comme AMAZON,C2
"Sur d’autres, on a entendu une série d’explosions, tandis que des manifestants scandaient : « notre révolte doit réussir ».",C1
Les baby-boomers en sont convaincus : tout peut recommencer à 50 ans.,C1
"Rien n'était si beau, si agile, si brillant, si bien ordonné que les deux armées.",B1
Quel est ton nom ?,A1
"Lâché par la sonde européenne Rosetta, le petit robot s'est posé mercredi en fin d'après-midi sur le noyau de la comète Tchourioumov-Gerassimenko, une première dans l'histoire spatiale.",B2
