id,sentence,difficulty
0,"Les co√їts kilom√©triques r√©els peuvent diverger sensiblement des valeurs moyennes en fonction du moyen de transport utilis√©, du taux d'occupation ou du taux de remplissage, de l'infrastructure utilis√©e, de la topographie des lignes, du flux de trafic, etc.".,C1
1,"Le bleu, c'est ma couleur pr√©f√©r√©e mais je n'aime pas le vert!".,A1
2,Le test de niveau en fran√Іais est sur le site Internet de l'√©cole.,A1
3,Est-ce que ton mari est aussi de Boston?,A1
4,"Dans les √©coles de commerce, dans les couloirs de places financi√®res, il arrive aujourd'hui de croiser de jeunes adultes de 20 ou 25 ans qui pr√©voient d'ouvrir une maison d'h√іtes ""dans une quinzaine d'ann√©es".,B1
5,voil√† une autre histoire que j'ai beaucoup aim√©e.,A2
6,Les m√©decins disent souvent qu'on doit boire un verre de vin rouge apr√®s les repas.,A2
7,"Il est particuli√®rement observ√© chez les personnes ayant un besoin de popularit√© d√©velopp√©, qui consid√®rent d√®s lors le moindre signal du smartphone comme un possible indicateur de leur degr√© de popularit√©.",B2
8,J'ai retrouv√© le plaisir de manger un oeuf √† la coque.,A2
9,"Nous allons bien, nous habitons dans une petite maison ancienne avec un tr√®s beau jardin".,B1
10,Bonjour et bonne ann√©e.,A1
11,La presse s'est abondamment fait l'√©cho des effets secondaires ressentis par les soignants de moins de 65 ans.,B2
12,"Pour que le rocher s'ouvre, il faut le toucher avec un brin d'herbe.",B1
13,J'habite une belle ville dans le nord de la France.,A1
14,"Certes il doit r√©pondre aux go√їts du consommateur, mais aussi aux capacit√©s de son porte-monnaie.",B2
15,"Ma timidit√© me quittait d√®s que je m'√©loignais d'Ell√©nore 
16,Je pense que fr√©quenter les galeries est la meilleure mani√®re d'√©duquer son oeil √† l'art contemporain.,B2
17,"Le soir, je me cuche t√іt parce que je dois √™tre toujours en bonne forme.",A1
18,"La m√®re de Rapha√Ђl et de Vanessa exprime sa satisfaction : depuis que ses enfants poss√®dent un portable, ""√Іa a lib√©r√© ma ligne"", d√©clare-t-elle.",B2
19,Je ne fais pas grand-chose √† la maison.,A2
20,Elle ajoute qu'une interdiction totale est impossible √† g√©rer.,B2
21,"Sans plus d'h√©sitation, il tourna vers la gauche 
22,"Comme le signale l'expression ""lingua franca"", le fran√Іais a √©t√© pendant tr√®s longtemps la langue internationale eu √©gard √† notre rayonnement politique aussi bien que culturel.".,C2
23,Je ne t'ai pas t√©l√©phon√© parce que j'ai eu trop de travail.,B1
24,C'est peut-√™tre √Іa que vous cherchez ?,A2
25,"Qu'est-ce qui peut bien poser probl√®me dans ces petits livrets pourtant plut√іt attractifs pour que seuls 23, 4 % de leurs d√©tenteurs arrivent au bout ?",C2
26,Je consulte d'habitude ma messagerie. Et puis je prends un caf√©.,A1
27,Nous sommes en train de d√Ѓner.,A2
28,"En fait, je trouve que l'√©ducation est une bonne chose.",B1
29,As-tu besoin de quelque chose?,A1
30,"Perp√©tuel clandestin, c'est muni d'un faux titre de s√©jour, photocopie de la carte de r√©sident d'un copain-complice, qu'il avait ensuite sillonn√© l'Hexagone, au bon vouloir d'employeurs peu scrupuleux.",C1
31,"Le mariage mixte appara√Ѓt comme le lieu privil√©gi√© ou les cultures s'affrontent, dialoguent et se fondent.",B2
32,"Assis en terrasse dans le quartier touristique du Vieux Lyon, James sirote une limonade bien fra√Ѓche.",B2
33,"La chronologie antique ne prend sens que sur un large pourtour de la M√©diterran√©e, de m√™me que ce d√©coupage spatial n'est pertinent comme entit√© g√©ographique que durant cette p√©riode pendant laquelle la mer int√©rieure n'est pas v√©cue comme une limite.",C2
34,"En voici un des moins obscurs : ""Plus nous devenons ma√Ѓtres de la biosph√®re, plus nous en devenons d√©pendants 
35,"C'est le d√©but de troubles qui se poursuivent et s'√©tendent au reste du territoire tout au long du mois de septembre les fameuses ""Journ√©es de septembre"" amplifi√©s le refus de Guillaume 1er de consid√©rer les revendications des insurg√©s",B2
36,Les filles s'√©taient fait des colliers en fruits rouges qui ressemblaient √† des perles.,B2
37,Je reste avec toi.,A1
38,Un revenu devient donc une n√©cessit√© pour que l'Homme puisse acc√©der √† la satisfaction d'avoir combl√© ses d√©sirs.,C2
39,Tu mangeas les petits fruits d√®s que tu les eus cueillis,C2
40,"Ben, on est tous d√©bord√©s quoi.",A1
41,"Ben, on est tous débordés quoi.",A1
42,"Un petit garçon : Ben trois dans un nid et dans l'autre, y'en a deux",A2
43,J'ai été en forme toute la matinée.,A2
44,"L'ordinateur peut aussi répondre à des interruptions qui lui permettent d'exécuter des programmes de réponses spécifiques à chacune, puis de reprendre l'exécution séquentielle du programme interrompu.",C2
45,Il a plu et j'ai attendu l'autobus.,A2
46,"Dans d'autres cas il s'agit de limites relatives, basées sur un taux de croissance démographique de référence, valables là aussi uniquement hors centres ou pondérées en fonction du degré de centralité.",C2
47,C'est bien !,A1
48,"En 2007, moins de 8% des déchets des entreprises ont fait l'objet d'une collecte sélective.",B2
49,Les médecins des donneurs vous conseilleront volontiers dans un tel cas vous renseigneront par rapport aux dons de sang.,C1
50,Le plus inquiétant c'est que la Scandinavie avait déjà battu des records de chaleur pendant l'été 2018,A2
51,J'aime le ski.,A1
52,"""Malheureusement, il semble désormais évident qu'il n'y a pas de voie pour obtenir une confirmation"", a écrit Neera Tanden à Joe Biden en retirant sa candidature",B2
53,Pourquoi l'oisillon se retrouve-t-il seul dans la forêt ?,A1
54,Elle est née quel jour ?,A1
55,"Il existe effectivement, des êtres humains qui possèdent une quantité de pouvoir importante et qui contraignent l'humanité à travailler en créant un cercle vicieux qui fait du travail une nécessité pour accéder à ses propres désirs",C2
56,Une bouchée de : cette expression fait référence à la quantité d'un aliment qu'on met dans la bouche en une fois.,B1
57,"Si tu respectait les indications plus sérieusement, tu trouverais plus facilement ton chemin à travers ces ruelles.",B2
58,"Aussitôt que Julie eut découvert la vérité, elle fut furieuse",C2
59,Pile au moment où on a le plus besoin de réconfort,A2
60,"Le train, en son temps, était également craint. Brigitte Munier Les robots suscitent l'enthousiasme des Occidentaux, mais aussi leur angoisse: au lieu de les concevoir comme de simples outils ou, à la manière japonaise, tels d'amicaux auxiliaires, ils craignent des compétiteurs menaçant leur avenir.",C1
61,Je viens d'emménager dans ma nouvelle maison.,A2
62,"Et cette année, ça défile !",B1
63,"Compte tenu de cette configuration, cette zone est peu adaptée à des mesures de terrain pour limiter la diffusion des campagnols terrestres ; les axes routiers ne représentant pas une barrière très forte pour cette espèce, on peut aussi penser qu'un tel résultat est un artéfact dû à la coupure artificielle d'une seule tache de prairie.",C1
64,"Après mûre réflexion, la Commission européenne a eu une idée brillante: s'attaquer à un nouveau chantier, qui avait jusque-là bizarrement échappé à sa sagacité légendaire.",C1
65,"Avec de l'expérience, le télévendeur peut devenir animateur d'un pôle de télévendeurs, superviseur d'équipe, chef de plateau.",B1
66,"Et toi, qu'est-ce que tu vas faire ?",A2
67,Les valorisations boursières des sociétés Internet comme AMAZON,C2
68,"Sur d'autres, on entendait une série de détonations, tandis que des contestataires scandaient: ""notre révolte doit réussir"".",C1
69,Les baby-boomers en sont convaincus: tout peut recommencer à 50 ans.,C1
70,"Rien n'était si beau, si leste, si brillant, si bien ordonné que les deux armées.",B1
71,Comment t'appelles-tu ?,A1
72,"Largué par la sonde européenne Rosetta, le petit robot avait atterri mercredi en fin d'après-midi sur le noyau de la comète Tchourioumov-Guérassimenko, une première de l'histoire spatiale.",B2
73,"Elle pendit son linge au dossier d'une chaise, elle demeura debout, tournant, examinant les meubles, frappée d'une telle stupeur, que ses larmes ne coulaient plus ; il lui restait un sou sur les quatre sous gardés pour le lavoir. Puis, entendant rire à la fenêtre Étienne et Claude, déjà consolés, elle s'approcha, prit leurs têtes sous ses bras, s'oublia un instant devant cette chaussée grise, où elle avait vu, le matin, s'éveiller le peuple ouvrier, le travail géant de Paris ; à cette heure, le pavé échauffé par les besognes du jour allumait une réverbération ardente au-dessus de la ville, derrière le mur de l'octroi ; c'était sur ce pavé, dans cet air de fournaise, qu'on la jetait toute seule avec les petits et elle enfila d'un regard les boulevards extérieurs, à droite, à gauche, s'arrêtant aux deux bouts, prise d'une épouvante sourde, comme si sa vie, désormais, allait tenir là, entre un abattoir et un hôpital.",C2
74,"Le sérum, qui a pâti de la comparaison avec ses concurrents Pfizer et Moderna, est désormais considéré comme aussi efficace pour prévenir le risque d'hospitalisation.",C1
75,"J'ai identifié trois peurs fondamentales du robot: la crainte instinctive du métal contre la chair, la crainte sociétale, presque désespérée du robot qui va voler le travail de l'homme, et, enfin, la crainte identitaire de voir le robot nous dépasser en capacités intellectuelles ou autres.",C2
76,Mais d'autres pourront préférer L'Assassin des échecs ou Les Annales du Kangourou (Editions du Kangourou) .,C2
77,Vous ferez de la randonnée ?,B1
78,il y a plus de 50 pays francophones !,A1
79,Ils ont déjà l'obligation de les ramener chez eux.,B1
80,"Un autre : Oui, on leur a bien donné des noms",A2
81,Vous joindrez à votre formulaire les pièces justificatives et documents sous format numérique.,B2
82,"Merci, bon voyage.",A1
83,"Ce geste, presque insensible, lui fit courir, de la tête aux pieds, un grand frisson sur la peau, et, se tournant vivement, il se jeta sur elle, cherchant la bouche avec ses lèvres et la chair nue avec ses mains.",C2
84,Il clabaude aux esgourdes des blaireaux enfarinés et des tordus pasteurisés.,C2
85,"Avec sa nouvelle compagne de quatorze ans sa cadette, il dit ""vivre une renaissance"".",C1
86,"Entre ceux qui ne jurent que par l'introduction de l'informatique dans l'enseignement obligatoire, et ceux qui ont peur que l'on veuille transformer le primaire en une grande école d'informatique, il existe pourtant des pistes pour initier les enseignants et favoriser un passage du périscolaire au scolaire, sans avoir à attendre une réforme du socle commun qui prendra des années.",C2
87,"Parmi les acteurs du commerce équitable, il faut distinguer les organismes ""labellisateurs"", qui certifient des filières d'importation par produit, et les importateurs - grossistes, détaillants ou réseaux de boutiques, comme Artisans du monde -, qui ont leurs propres contacts avec les producteurs et s'autocontrôlent, faute de mieux.",C1
